objectid,filename,youtubeid,vimeoid,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
,1.jpg,,,UP Economics Society,,Members of the UP Economics Society,About Ecosoc; Members,About the Organization,,,UP Economics Society Facebook Page,,Image;StillImage,image/jpeg,,,
,2.jpg,,,UP Economics Society,,About UP Economics Society,About Ecosoc ,About the Organization,,,UP Economics Society Official Website,,Image;StillImage,image/jpeg,,,
,3.jpg,,,UP Economics Society,,Core Thrusts,About Ecosoc ,About the Organization,,,UP Economics Society Official Website,,Image;StillImage,image/jpeg,,,
,4.jpg,,,UP Economics Society,,Organizational Mission,About Ecosoc ,About the Organization,,,UP Economics Society Official Website,,Image;StillImage,image/jpeg,,,
,5.jpg,,,UP Economics Society,,Organizational Vision,About Ecosoc ,About the Organization,,,UP Economics Society Official Website,,Image;StillImage,image/jpeg,,,
,6.jpg,,,UP Economics Society,,Ad Hocs of the UP Economics Society,About Ecosoc; Projects,About the Organization,,,UP Economics Society Official Website,,Image;StillImage,image/jpeg,,,
,NES1.png,,,UP Economics Society,,The National Economics Summit 2022: The Here and Now,Projects; National Economics Summit,National Economics Summit,,,National Economics Summit Facebook Page,,Image;StillImage,image/jpeg,,,
,NES2.png,,,UP Economics Society,,The National Economics Summit 2022: The Here and Now,Projects; National Economics Summit,National Economics Summit,,,National Economics Summit Facebook Page,,Image;StillImage,image/jpeg,,,
,NES3.png,,,UP Economics Society,,The National Economics Summit 2022: The Here and Now,Projects; National Economics Summit,National Economics Summit,,,National Economics Summit Facebook Page,,Image;StillImage,image/jpeg,,,
,NES4.png,,,UP Economics Society,,The National Economics Summit 2022: The Here and Now,Projects; National Economics Summit,National Economics Summit,,,National Economics Summit Facebook Page,,Image;StillImage,image/jpeg,,,
,NES5.png,,,UP Economics Society,,The National Economics Summit 2022: The Here and Now,Projects; National Economics Summit,National Economics Summit,,,National Economics Summit Facebook Page,,Image;StillImage,image/jpeg,,,
,NYC1.png,,,UP Economics Society,,National Youth Congress 2019,Projects; National Youth Congress,National Youth Congress,,,National Youth Congress Facebook Page,,Image;StillImage,image/jpeg,,,
,NYC2.png,,,UP Economics Society,,National Youth Congress 2019,Projects; National Youth Congress,National Youth Congress,,,National Youth Congress Facebook Page,,Image;StillImage,image/jpeg,,,
,NYC3.png,,,UP Economics Society,,National Youth Congress 2019,Projects; National Youth Congress,National Youth Congress,,,National Youth Congress Facebook Page,,Image;StillImage,image/jpeg,,,
,NYC4.png,,,UP Economics Society,,National Youth Congress 2019,Projects; National Youth Congress,National Youth Congress,,,National Youth Congress Facebook Page,,Image;StillImage,image/jpeg,,,
,NYC5.png,,,UP Economics Society,,National Youth Congress 2019,Projects; National Youth Congress,National Youth Congress,,,National Youth Congress Facebook Page,,Image;StillImage,image/jpeg,,,
