objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,1.jpg,,,Members of the UP Economics Society,UP Economics Society,,,About Ecosoc; Members,About the Organization,,,UP Economics Society Facebook Page,,Image;StillImage,image/jpeg,,,
coll002,2.jpg,,,About UP Economics Society,UP Economics Society,,,About Ecosoc ,About the Organization,,,UP Economics Society Official Website,,Image;StillImage,image/jpeg,,,
coll003,3.jpg,,,Core Thrusts,UP Economics Society,,,About Ecosoc ,About the Organization,,,UP Economics Society Official Website,,Image;StillImage,image/jpeg,,,
coll004,4.jpg,,,Organizational Mission,UP Economics Society,,,About Ecosoc ,About the Organization,,,UP Economics Society Official Website,,Image;StillImage,image/jpeg,,,
coll005,5.jpg,,,Organizational Vision,UP Economics Society,,,About Ecosoc ,About the Organization,,,UP Economics Society Official Website,,Image;StillImage,image/jpeg,,,
coll006,6.jpg,,,Ad Hocs of the UP Economics Society,UP Economics Society,,"External projects of the UP Economics Society: National Youth Congress, National Economics Summit, The Rundown, UPFront, and UP Fair Dimensions.",About Ecosoc; Projects,About the Organization,,,UP Economics Society Official Website,,Image;StillImage,image/jpeg,,,
coll007,NES1.png,,,The National Economics Summit 2022: The Here and Now,UP Economics Society,2022,"A symposium that brings together students from all around the nation to discuss, debate, and consolidate on socioeconomic issues. NES 2022 was held on September 17-18, 2022 via Zoom.",Projects; National Economics Summit,National Economics Summit,,,National Economics Summit Facebook Page,,Image;StillImage,image/jpeg,,,
coll008,NES2.png,,,The National Economics Summit 2022: The Here and Now,UP Economics Society,2022,"A symposium that brings together students from all around the nation to discuss, debate, and consolidate on socioeconomic issues. NES 2022 was held on September 17-18, 2022 via Zoom.",Projects; National Economics Summit,National Economics Summit,,,National Economics Summit Facebook Page,,Image;StillImage,image/jpeg,,,
coll009,NES3.png,,,The National Economics Summit 2022: The Here and Now,UP Economics Society,2022,"A symposium that brings together students from all around the nation to discuss, debate, and consolidate on socioeconomic issues. NES 2022 was held on September 17-18, 2022 via Zoom.",Projects; National Economics Summit,National Economics Summit,,,National Economics Summit Facebook Page,,Image;StillImage,image/jpeg,,,
coll010,NES4.png,,,The National Economics Summit 2022: The Here and Now,UP Economics Society,2022,"A symposium that brings together students from all around the nation to discuss, debate, and consolidate on socioeconomic issues. NES 2022 was held on September 17-18, 2022 via Zoom.",Projects; National Economics Summit,National Economics Summit,,,National Economics Summit Facebook Page,,Image;StillImage,image/jpeg,,,
coll011,NES5.png,,,The National Economics Summit 2022: The Here and Now,UP Economics Society,2022,"A symposium that brings together students from all around the nation to discuss, debate, and consolidate on socioeconomic issues. NES 2022 was held on September 17-18, 2022 via Zoom.",Projects; National Economics Summit,National Economics Summit,,,National Economics Summit Facebook Page,,Image;StillImage,image/jpeg,,,
coll012,NYC1.png,,,National Youth Congress 2019,UP Economics Society,2019,An annual convention that aspires to provide high school students an avenue to learn about economic concepts and its applications in the Philippine setting.,Projects; National Youth Congress,National Youth Congress,,,National Youth Congress Facebook Page,,Image;StillImage,image/jpeg,,,
coll013,NYC2.png,,,National Youth Congress 2019,UP Economics Society,2019,An annual convention that aspires to provide high school students an avenue to learn about economic concepts and its applications in the Philippine setting.,Projects; National Youth Congress,National Youth Congress,,,National Youth Congress Facebook Page,,Image;StillImage,image/jpeg,,,
coll014,NYC3.png,,,National Youth Congress 2019,UP Economics Society,2019,An annual convention that aspires to provide high school students an avenue to learn about economic concepts and its applications in the Philippine setting.,Projects; National Youth Congress,National Youth Congress,,,National Youth Congress Facebook Page,,Image;StillImage,image/jpeg,,,
coll015,NYC4.png,,,National Youth Congress 2019,UP Economics Society,2019,An annual convention that aspires to provide high school students an avenue to learn about economic concepts and its applications in the Philippine setting.,Projects; National Youth Congress,National Youth Congress,,,National Youth Congress Facebook Page,,Image;StillImage,image/jpeg,,,
coll016,NYC5.png,,,National Youth Congress 2019,UP Economics Society,2019,An annual convention that aspires to provide high school students an avenue to learn about economic concepts and its applications in the Philippine setting.,Projects; National Youth Congress,National Youth Congress,,,National Youth Congress Facebook Page,,Image;StillImage,image/jpeg,,,
